name,price,status,shipping,free_returns,items_sold
"Claremont McKenna Athenas Sweatshirt, X-L",1200,Pre-Owned,975,False,
Claremont McKenna College Shirt Adult Mens Medium Gray League,793,Pre-Owned,700,True,
Commerce & Civilization Claremont McKenna College First Fifty Years 1946 - Starr,1439,,,True,
Claremont McKenna College Pullover Fleece Sweatshirt Sz Large,4500,Brand New,1000,False,
Claremont McKenna College Sticker Decal R8161,195,Brand New,,False,
Claremont McKenna College Burgundy Ceramic Coffee Mug,2197,Pre-Owned,,False,
Champion ECO Unisex  L  Gray   Long sleeve Sweatshirt Claremont McKenna College,2966,Pre-Owned,,True,
Under Armour T-Shirt Mens Medium Maroon Claremont McKenna College Loose Athletic,1169,Pre-Owned,599,False,
Vintage Claremont McKenna College 1/10 10k GF 10 Years Service Lapel Pin (P36),2499,Pre-Owned,508,False,
RARE Large Claremont McKenna College Red Felt Pennant; EXCELLENT CONDITION!!,1859,Pre-Owned,750,False,
Claremont California CA Mckenna College Campus c1983 Postcard Mountains,885,Pre-Owned,89,True,
Claremont McKenna College Stags Vintage 90s Sweatshirt Small NCAA CMC Mens Gray,4339,Pre-Owned,500,True,
"The Diary of Samuel Golfard and - Paperback, by Lower Claremont McKenna - Good",3181,Pre-Owned,,True,
"Heroes Reborn DOOM #1 MARVEL 2000 ICONIC SPIDER-MAN ""got milk?"" AD BACK CVR NM+",1998,Brand New,595,True,
Commerce & Civilization Claremont McKenna College First Fifty Years 1946 - Starr,1500,,638,False,
Commerce and Civilization Claremont McKenna College The First Fift.Years 1946-96,2100,,,False,
Claremont McKenna College Sticker Decal,190,Brand New,,True,
"7"" x 5"" Photo Frame - Claremont McKenna College - Lot of 12",2249,Brand New,,False,
"Divided We Stand, Busch, Andrew E.,Busch, Andrew E.,Pitney Jr. Claremont McKenna",1898,Pre-Owned,,False,
ORIGINAL 1946 to 1996 CLAREMONT McKENNA COLLEGE HISTORY YEARBOOK/CLAREMONT CALIF,3995,,,False,
"Commerce & Civilization, Claremont McKenna College: The 1st 50 Years, 1946-1996",2000,Pre-Owned,469,False,
6x4 Photo Frame - Claremont McKenna College （2A）,688,Brand New,588,False,
Vintage Claremont McKenna College Shirt Men's Size XL Grey Tee,1518,Pre-Owned,1705,False,
"Commerce and Civilization: Claremont McKenna College, the First Fifty Years,...",2111,Pre-Owned,,True,
Ayer 1969 Yearbook Claremont Men's College (Los Angeles) Claremont McKenna Coll.,3795,Pre-Owned,823,True,
1946 Claremont McKenna College Book & 1975 Book,4999,,763,False,
Heroes Reborn: Doomsday #1 2000 CGC 9.8 Marvel Comics Low Census White Pages,1549,New (Other),1258,True,
Ayer 1968 Yearbook Claremont Men's College Claremont McKenna College California,2895,Pre-Owned,823,True,
Heroes Reborn Doom #1 FN+ 6.5 2000 Stock Image,780,,690,True,
"HEROES REBORN DOOMSDAY 1 DOCTOR DOOM (2000, MARVEL COMICS)",1798,New (Other),,True,
"HEROES REBORN DOOM 1 DOCTOR DOOM (1999, MARVEL COMICS)",1499,New (Other),,True,
