name,price,status,shipping,free_returns,items_sold
"Apple Macbook Pro 13"" Laptop | UPGRADED i5 16GB RAM | 1TB HD | MacOS | WARRANTY",14900,Pre-Owned,,True,
"13"" Apple MacBook Air SONOMA 3.6Ghz TURBO i5 16GB 256GB SSD A1932 Warranty",44900,Pre-Owned,,True,
"Apple MacBook 13"" Unibody  A1342 8GB RAM 256GB SSD",18900,Pre-Owned,,True,
Apple Macbook Pro 13 inch A1989 Sequoia 16GB Quad Core i7 512GB SSD + Warranty,52500,Pre-Owned,,True,
"Apple MacBook Air 13"" Apple M3 chip 16GB RAM 256GB SSD Midnight MC8K4LL/A 2024",74900,Open Box,,True,
"2017 Apple MacBook Pro 13"" i5 2.3GHz/8GB/256GB - (Space Gray) A1708 w/Warranty",21999,Good - Refurbished,,True,
"Apple MacBook Pro M3 Pro 14.2"" 11-CoreCPU 14-CoreGPU 2023 512GB SSD 18GB RAM",118900,Excellent - Refurbished,,True,
"Apple 16"" MacBook Pro 2.6GHz i7 16GB 512GB SSD - Refurbished",47655,Excellent - Refurbished,,True,
"Apple MacBook 13"" Unibody  A1342 8GB RAM 256GB SSD",18900,,,False,
Apple Macbook Pro 13 inch A1989 Sequoia 16GB Quad Core i7 512GB SSD + Warranty,52500,,,False,
"Apple MacBook Air 13.3"" Intel Core i3 1.10 GHz 8GB 128GB SSD (2020) MWTJ2LL/A",34799,,,False,
Apple Macbook Pro 13.3” 2.5GHz intel Core i5 16GB RAM 1TB HDD Turbo🔥,24900,,,False,
13 Apple Macbook Pro Core i5 3.5GHz Turbo 512GB SSD 16GB A1706 TouchBar Warranty,48900,,,False,
MacBook Pro 15 Inch 1 TB SSD 16 GB i7 3.40Ghz Apple Retina Big Sur 3yr Warranty,44900,,,False,
"EXCELLENT Apple MacBook Pro 15"" RETINA 3.4GHz i7 Turbo 16GB RAM 512GB SSD",39102,,,False,
"LOADED!! Apple MacBook Pro Retina 15"" i7 + TouchBar + 2023 OS + 16 GB RAM + MORE",69825,,,False,
"Apple MacBook Pro 14"" Apple M4 chip 16GB RAM 512GB SSD Space Black MW2U3LL/A",129900,Open Box,,True,
MacBook Air 13-inch 2024 M3 / 16GB RAM / 512GB SSD / 10-Core GPU / Space Gray,87900,Open Box,,True,
2024 Apple MacBook Air 15-inch M3 Chip 16GB RAM 256GB SSD Midnight MC9G4LL/A,88900,Open Box,,True,
"Apple MacBook Air 13"" M2 chip 16GB RAM 256GB SSD Midnight MC7X4LL/A 2022 Model",69900,Open Box,,True,
"Apple MacBook Air 13.3"" Intel Core i3 1.10 GHz 8GB 128GB SSD (2020) MWTJ2LL/A",34799,Very Good - Refurbished,,True,
Apple Macbook Pro 13.3” 2.5GHz intel Core i5 16GB RAM 1TB HDD Turbo🔥,24900,Pre-Owned,,True,
"Apple Macbook Pro 15"" Retina - i7 2.2GHZ 16GB 1TB SSD - OS Monterey + Warranty",29500,Pre-Owned,,True,
13 Apple Macbook Pro Core i5 3.5GHz Turbo 512GB SSD 16GB A1706 TouchBar Warranty,48900,Pre-Owned,,True,
Apple MacBook Air M3 15.3in 8-CoreCPU 10-CoreGPU 2024 8GB RAM 256GB SSD,78900,Excellent - Refurbished,,True,
"Apple MacBook Pro M3 14.2"" 8-CoreCPU 10-CoreGPU 2023 8GB RAM 512GB SSD Excellent",89900,Excellent - Refurbished,,True,
"13.3"" 2020, MacBook Air, BTO, Apple M1, 16GB, 256GB SSD, 7C",52495,Good - Refurbished,,True,
"Apple MacBook Pro A1278 13"" Intel Core i5 2.5Ghz CPU 8GB RAM 256G SSD",8899,Pre-Owned,,True,
"Apple MacBook 13"" Laptop READY TO USE w/ macOS 10.13 HIGH SIERRA",9999,Pre-Owned,,True,
"Apple MacBook Pro 13"" Late 2020 M1 1TB SSD 16GB RAM Space Gray - Good",64999,Good - Refurbished,,True,
Apple MacBook Air 13-inch M2 Chip 16GB RAM 256GB SSD Midnight MC7X4LL/A,69900,Open Box,,True,
"2020 Apple MacBook Air 13"" i3 1.1GHz/8GB/256GB SSD (Silver) A2179",24999,Pre-Owned,,True,
"Apple MacBook Pro 13.3"" (i5-5257u - 8GB RAM - 128GB SSD - MF839LL/A)",18999,Very Good - Refurbished,,True,
"Apple Macbook Air MLY33LL/A 2022 M2 - Magsafe 3 - 13.6""  8GB/256GB SSD Excellent",65700,Excellent - Refurbished,,True,
APPLE MACBOOK PRO 15 RETINA Laptop | i7 16GB RAM + 256GB SSD | WARRANTY,23900,Pre-Owned,,True,
"Apple MacBook Pro M1 Pro 16"" 10-Core CPU 16-Core GPU 2021 512GB SSD 16GB RAM",84400,Very Good - Refurbished,,True,
MacBook Pro 15 Inch 1 TB SSD 16 GB i7 3.40Ghz Apple Retina Big Sur 3yr Warranty,44900,Pre-Owned,,True,
"Apple Macbook Pro 13"" - i5 16GB RAM + 512GB SSD DVD - OS Monterey 12 - Warranty",16900,Pre-Owned,,True,
"EXCELLENT Apple MacBook Pro 15"" RETINA 3.4GHz i7 Turbo 16GB RAM 512GB SSD",39102,Very Good - Refurbished,,True,
"LOADED!! Apple MacBook Pro Retina 15"" i7 + TouchBar + 2023 OS + 16 GB RAM + MORE",69825,Pre-Owned,,True,
"1 Year Warranty 2020 MacBook Air 13"" Core i3 1.10GHz/8GB/256GB (Silver) - A2179",32399,Good - Refurbished,,True,
"Apple MacBook Pro 13"" A2159 i5-8257U 16GB RAM 256GB SSD Space Gray",26999,Pre-Owned,,True,
"Apple MacBook Air A1466 13.3"" Intel I5 CPU 4GB RAM 120 SSD",10999,Pre-Owned,,True,
"Apple MacBook Pro A1278 13"" Laptop Intel Core i5-3210M 2.50GHz 4GB RAM 500GB HDD",4999,Pre-Owned,1386,False,
"Apple MacBook Air 13.3"" Laptop Apple M1 chip 16GB Memory 512GB SSD SPACE GRAY",53999,Pre-Owned,,False,
New ListingApple MacBook Pro A1398 Retina i7 16GB RAM Laptop Notebook PC O15,12500,Pre-Owned,999,True,
"Apple Macbook Pro M1 14"" 8-core CPU 14-core GPU 2021 512GB SSD 16GB Ram Gray",87999,Excellent - Refurbished,,True,
"2018/2020 MacBook Air 13"" RETINA Display Intel Core i5 3.6GHz 256GB SSD 16GB RAM",47900,Good - Refurbished,,True,
